material,code
Old Well,missing
Clay,clay
Shale,shale
Clay & Silt,clay
Clay & Shale,clay
Shale & Coal,shale
Clay & Coal,clay
Shale & Siltstone,shale
Bentonite,clay
Unknown,missing
See Comments,missing
Bedrock,hard rock
Mudstone,shale
Chert,sand & gravel
Ironstone,ironstone
Shale & Silt,shale
Shale & Sandy Stringers,shale
Shale Stringers,shale
Fill,missing
Lost Circulation,missing
Clay & Sandstone Layers,clay
Predrilled,missing
Claystone,shale
Soapstone,hard rock
Formation,missing
Concretions,ironstone
Hard Pan,ironstone
Sea Shells,shale
Unreadable,missing
Dolomite,carbonates
Blind,missing
Caprock,shale
Pale Beds,hard rock
Mudstone & Siltstone,shale
Topsoil,soil
Coal,coal
Shale & Sandstone,shale
Clay & Sand,clay
Shale & Sandstone Ledges,shale
Limestone,carbonates
Hard Ledges,shale
Siltstone,siltstone
Silt,silt
Muskeg,peat
Clay & Sandstone,clay
Organic Matter,peat
Siltstone & Coal,siltstone
Silt & Sandstone,siltstone
Silt & Coal,silt
Siltstone & Sandstone,siltstone
Till,till
Clay & Rocks,till
Clay & Boulders,till
Clay & Gravel,till
Sand & Shale,interbedded sandstone and shale
Till & Clay,till
Till & Rocks,till
Shale & Gravel,shale
Silt & Rocks,till
Sandstone & Rocks,sandstone
Sand & Silt,sand
Shale & Rocks,till
Till & Gravel,till
Overburden,till
Drift,till
Surficial,till
Sand & Clay,sand
Colluvium,till
Till & Sand Stringers,till
Sandstone & Shale Ledges,sandstone
Sand & Coal,sand
Sand & Till,till
Sandstone & Coal,sandstone
Sandstone & Shale Strgs,sandstone
Sand & Clay Stringers,sand
Sandstone & Shale Stringers,sandstone
Till & Sand,till
Sandstone & Shale,sandstone
Sandstone,sandstone
Sand,sand
Quicksand,sand
Sand & Sandstone,sandstone
Tarsand,sandstone
Sandstone Stringers,sandstone
Granite,hard rock
Sandrock,sandstone
Sandstone & Clay Strgs,sandstone
Aquifer,sandstone
Volcanic Tuff,hard rock
Sand & Gravel,sand & gravel
Gravel,sand & gravel
Rocks,sand & gravel
Sand & Rocks,sand & gravel
Sand & Boulders,sand & gravel
Boulders,sand & gravel
Gravel & Boulders,sand & gravel
Stones,sand & gravel
Conglomerate,sand & gravel
Sandstone & Gravel,sand & gravel
Traprock,sand & gravel
Gravel & Hard Pan,sand & gravel
Pea Gravel,sand & gravel
